Rank	Name	basename	Genre	ESRB_Rating	Platform	Publisher	Developer	VGChartz_Score	Critic_Score	User_Score	Total_Shipped	Global_Sales	NA_Sales	PAL_Sales	JP_Sales	Other_Sales	Year	Last_Update	url	status	Vgchartzscore	img_url
9725	Serious Sam Classics: Revolution	serious-sam-classics-revolution	Shooter		PC	Devolver Digital	Croteam				0.17						2014.0	27th Dec 18	http://www.vgchartz.com/game/223258/serious-sam-classics-revolution/?region=All	1		/games/boxart/full_5230754AmericaFrontccc.jpg
9746	Dishonored: Death of the Outsider	dishonored-death-of-the-outsider	Action	M	PC	Bethesda Softworks	Arkane Studios				0.17						2017.0	03rd Mar 18	http://www.vgchartz.com/game/182728/dishonored-death-of-the-outsider/?region=All	1		/games/boxart/full_8753087AmericaFrontccc.jpg
9747	Tribal Pass	tribal-pass	Action		PC	Unknown	Tribe Tea				0.17						2017.0	13th Mar 19	http://www.vgchartz.com/game/223846/tribal-pass/?region=All	1		/games/boxart/full_6182992AmericaFrontccc.jpg
9783	Daily Chthonicle: Editor's Edition	daily-chthonicle-editors-edition	Adventure		PC	Unknown	Sinister Systems				0.17						2011.0	16th Mar 19	http://www.vgchartz.com/game/223863/daily-chthonicle-editors-edition/?region=All	1		/games/boxart/full_7487393AmericaFrontccc.jpg
9785	Plantera	plantera	Simulation		PC	Unknown	VaragtP				0.17						2015.0	16th Mar 19	http://www.vgchartz.com/game/223864/plantera/?region=All	1		/games/boxart/full_5088076AmericaFrontccc.jpg
9786	Dig or Die	dig-or-die	Strategy		PC	Unknown	Gaddy Games				0.17						2015.0	16th Mar 19	http://www.vgchartz.com/game/223865/dig-or-die/?region=All	1		/games/boxart/full_1384316AmericaFrontccc.jpg
9838	Ashes of the Singularity: Escalation	ashes-of-the-singularity-escalation	Strategy		PC	Unknown	Stardock				0.16						2011.0	16th Mar 19	http://www.vgchartz.com/game/223870/ashes-of-the-singularity-escalation/?region=All	1		/games/boxart/full_9826840AmericaFrontccc.jpg
9841	Valdis Story: Abyssal City	valdis-story-abyssal-city	Misc		PC	Endless Fluff Games	Unknown				0.16						2013.0		http://www.vgchartz.com/game/77350/valdis-story-abyssal-city/?region=All	1		/games/boxart/full_1839205AmericaFrontccc.jpg
9842	Act of Aggression	act-of-aggression	Strategy		PC	Focus Home Interactive	Eugen Systems				0.16						2015.0	22nd Sep 18	http://www.vgchartz.com/game/85916/act-of-aggression/?region=All	1		/games/boxart/full_648670PALFrontccc.jpg
9863	12 Labours of Hercules	12-labours-of-hercules	Strategy		PC	Jetdogs Studios	Jetdogs Studios				0.16						2015.0		http://www.vgchartz.com/game/85272/12-labours-of-hercules/?region=All	1		/games/boxart/full_2365795AmericaFrontccc.jpg
9868	Lara Croft and the Temple of Osiris	lara-croft-and-the-temple-of-osiris	Action	T	PC	Square Enix	Crystal Dynamics				0.16						2014.0	30th Jul 18	http://www.vgchartz.com/game/82911/lara-croft-and-the-temple-of-osiris/?region=All	1		/games/boxart/full_6097557AmericaFrontccc.jpg
9871	Vampyr	vampyr	Role-Playing	M	PC	Focus Home Interactive	DONTNOD Entertainment				0.16						2018.0	08th Feb 18	http://www.vgchartz.com/game/181515/vampyr/?region=All	1	6.0	/games/boxart/full_3365972PALFrontccc.jpg
9876	Okami HD	okami-hd	Adventure		PC	Capcom	Capcom				0.16						2017.0	31st Dec 17	http://www.vgchartz.com/game/220254/okami-hd/?region=All	1		/games/boxart/full_7286407AmericaFrontccc.jpg
9904	Massive Chalice	massive-chalice	Strategy		PC	Double Fine Productions	Double Fine Productions				0.16						2014.0	18th Mar 19	http://www.vgchartz.com/game/72288/massive-chalice/?region=All	1		/games/boxart/full_9571226AmericaFrontccc.jpeg
9908	The Surge	the-surge	Action	M	PC	Focus Home Interactive	DECK13 Interactive				0.16						2017.0	06th Jan 18	http://www.vgchartz.com/game/177473/the-surge/?region=All	1		/games/boxart/full_2219429PALFrontccc.png
9920	Tumblestone	tumblestone	Puzzle		PC	Unknown	The Quantum Astrophysicists Guild				0.16						2012.0	18th Mar 19	http://www.vgchartz.com/game/223888/tumblestone/?region=All	1		/games/boxart/full_961263AmericaFrontccc.jpg
9926	Bulletstorm	bulletstorm	Shooter	M	PC	Electronic Arts	People Can Fly		8.7			0.16	0.07	0.08		0.02	2011.0		http://www.vgchartz.com/game/44607/bulletstorm/?region=All	1		/games/boxart/full_bulletstorm_769AmericaFront.jpg
9927	Just Cause 3	just-cause-3	Action-Adventure	M	PC	Square Enix	Avalanche Studios		7.6			0.16	0.03	0.12		0.01	2015.0	04th Apr 18	http://www.vgchartz.com/game/84821/just-cause-3/?region=All	1		/games/boxart/full_8977042PALFrontccc.jpg
9949	Bunch of Heroes	bunch-of-heroes	Action		PC	Unknown	NGD Studios				0.16						2011.0		http://www.vgchartz.com/game/63632/bunch-of-heroes/?region=All	1		/games/boxart/full_bunch-of-heroes_700AmericaFront.jpg
9975	Steins;Gate	steinsgate	Visual Novel	M	PC	Nitro+	Nitro+				0.16						2016.0	04th Jul 18	http://www.vgchartz.com/game/44773/steinsgate/?region=All	1		/games/boxart/full_8847318AmericaFrontccc.jpeg
9994	Final Fantasy III	final-fantasy-iii	Misc		PC	Square Enix	Unknown				0.16						2014.0		http://www.vgchartz.com/game/82520/final-fantasy-iii/?region=All	1		/games/boxart/full_1751878AmericaFrontccc.jpg
10012	Sid Meier's Ace Patrol	sid-meiers-ace-patrol	Strategy		PC	2K Games	Firaxis Games				0.16						2013.0	19th Mar 19	http://www.vgchartz.com/game/223895/sid-meiers-ace-patrol/?region=All	1		/games/boxart/full_9246878AmericaFrontccc.jpg
10016	SUPERHOT VR	superhot-vr	Shooter		PC	SUPERHOT Team	SUPERHOT Team				0.16						2017.0	09th Nov 18	http://www.vgchartz.com/game/223035/superhot-vr/?region=All	1		/games/boxart/full_6863124AmericaFrontccc.jpg
10037	WildStar	wildstar	MMO	T	PC	Carbine Studios	Carbine Studios					0.16	0.08	0.07		0.01	2014.0	04th Nov 18	http://www.vgchartz.com/game/74776/wildstar/?region=All	1		/games/boxart/full_5274114AmericaFrontccc.jpg
10038	NBA 2K12	nba-2k12	Sports	E	PC	2K Sports	Visual Concepts		8.5			0.16	0.09	0.05		0.02	2011.0		http://www.vgchartz.com/game/64154/nba-2k12/?region=All	1		/games/boxart/full_nba-2k12_266AmericaFront.jpg
